Class; Value; Class start; Class end;
141;35631;3.350028992712;3.663932309568;
142;34564;3.663932309568;3.977835626423;
143;33819;3.977835626423;4.291738943278;
144;32869;4.291738943278;4.605642260134;
145;32279;4.605642260134;4.919545576989;
146;31203;4.919545576989;5.233448893845;
147;30130;5.233448893845;5.547352210700;
148;29255;5.547352210700;5.861255527556;
149;28637;5.861255527556;6.175158844411;
150;27378;6.175158844411;6.489062161266;
151;26703;6.489062161266;6.802965478122;
152;25681;6.802965478122;7.116868794977;
153;24720;7.116868794977;7.430772111833;
154;23316;7.430772111833;7.744675428688;
155;22707;7.744675428688;8.058578745544;
156;21583;8.058578745544;8.372482062399;
157;20497;8.372482062399;8.686385379254;
158;19653;8.686385379254;9.000288696110;
159;18399;9.000288696110;9.314192012965;
160;17124;9.314192012965;9.628095329821;
161;15938;9.628095329821;9.941998646676;
162;14661;9.941998646676;10.255901963532;
163;12940;10.255901963532;10.569805280387;
164;11081;10.569805280387;10.883708597243;
165;6293;10.883708597243;11.197611914098;
166;2622;11.197611914098;11.511515230953;
167;1907;11.511515230953;11.825418547809;
168;1785;11.825418547809;12.139321864664;
169;1510;12.139321864664;12.453225181520;
170;1478;12.453225181520;12.767128498375;
171;1309;12.767128498375;13.081031815231;
172;1219;13.081031815231;13.394935132086;
173;1131;13.394935132086;13.708838448941;
174;1055;13.708838448941;14.022741765797;
175;1027;14.022741765797;14.336645082652;
176;961;14.336645082652;14.650548399508;
177;841;14.650548399508;14.964451716363;
178;783;14.964451716363;15.278355033219;
179;845;15.278355033219;15.592258350074;
180;696;15.592258350074;15.906161666929;
181;744;15.906161666929;16.220064983785;
182;656;16.220064983785;16.533968300640;
183;628;16.533968300640;16.847871617496;
184;616;16.847871617496;17.161774934351;
185;593;17.161774934351;17.475678251207;
186;572;17.475678251207;17.789581568062;
187;530;17.789581568062;18.103484884917;
188;434;18.103484884917;18.417388201773;
189;367;18.417388201773;18.731291518628;
190;386;18.731291518628;19.045194835484;
191;377;19.045194835484;19.359098152339;
192;367;19.359098152339;19.673001469195;
193;368;19.673001469195;19.986904786050;
194;288;19.986904786050;20.300808102905;
195;267;20.300808102905;20.614711419761;
196;335;20.614711419761;20.928614736616;
197;342;20.928614736616;21.242518053472;
198;220;21.242518053472;21.556421370327;
199;205;21.556421370327;21.870324687183;
200;175;21.870324687183;22.184228004038;
201;183;22.184228004038;22.498131320893;
202;209;22.498131320893;22.812034637749;
203;175;22.812034637749;23.125937954604;
204;188;23.125937954604;23.439841271460;
205;145;23.439841271460;23.753744588315;
206;140;23.753744588315;24.067647905171;
207;143;24.067647905171;24.381551222026;
208;146;24.381551222026;24.695454538881;
209;128;24.695454538881;25.009357855737;
210;140;25.009357855737;25.323261172592;
211;94;25.323261172592;25.637164489448;
212;75;25.637164489448;25.951067806303;
213;108;25.951067806303;26.264971123159;
214;118;26.264971123159;26.578874440014;
215;114;26.578874440014;26.892777756869;
216;114;26.892777756869;27.206681073725;
217;84;27.206681073725;27.520584390580;
218;88;27.520584390580;27.834487707436;
219;118;27.834487707436;28.148391024291;
220;90;28.148391024291;28.462294341147;
221;109;28.462294341147;28.776197658002;
222;111;28.776197658002;29.090100974857;
223;71;29.090100974857;29.404004291713;
224;77;29.404004291713;29.717907608568;
225;121;29.717907608568;30.031810925424;
226;89;30.031810925424;30.345714242279;
227;83;30.345714242279;30.659617559135;
228;77;30.659617559135;30.973520875990;
229;59;30.973520875990;31.287424192845;
230;62;31.287424192845;31.601327509701;
231;98;31.601327509701;31.915230826556;
232;51;31.915230826556;32.229134143412;
233;59;32.229134143412;32.543037460267;
234;49;32.543037460267;32.856940777123;
235;40;32.856940777123;33.170844093978;
236;32;33.170844093978;33.484747410834;
237;21;33.484747410834;33.798650727689;
238;20;33.798650727689;34.112554044544;
239;9;34.112554044544;34.426457361400;
240;3;34.426457361400;34.740360678255;
241;8;34.740360678255;35.054263995111;
242;4;35.054263995111;35.368167311966;
243;9;35.368167311966;35.682070628822;
244;27;35.682070628822;35.995973945677;
245;17;35.995973945677;36.309877262532;
246;8;36.309877262532;36.623780579388;
247;1;36.623780579388;36.937683896243;
248;4;36.937683896243;37.251587213099;
249;5;37.251587213099;37.565490529954;
250;13;37.565490529954;37.879393846810;
251;14;37.879393846810;38.193297163665;
252;4;38.193297163665;38.507200480520;
253;5;38.507200480520;38.821103797376;
254;4;38.821103797376;39.135007114231;
255;0;39.135007114231;39.448910431087;
256;4;39.448910431087;39.762813747942;
