Class; Value; Class start; Class end;
51;3;-103.965651716362;-102.628463591705;
52;1;-102.628463591705;-101.291275467048;
53;0;-101.291275467048;-99.954087342392;
54;0;-99.954087342392;-98.616899217735;
55;0;-98.616899217735;-97.279711093078;
56;0;-97.279711093078;-95.942522968422;
57;4;-95.942522968422;-94.605334843765;
58;3;-94.605334843765;-93.268146719108;
59;3;-93.268146719108;-91.930958594452;
60;3;-91.930958594452;-90.593770469795;
61;3;-90.593770469795;-89.256582345138;
62;4;-89.256582345138;-87.919394220482;
63;5;-87.919394220482;-86.582206095825;
64;1;-86.582206095825;-85.245017971168;
65;0;-85.245017971168;-83.907829846512;
66;0;-83.907829846512;-82.570641721855;
67;0;-82.570641721855;-81.233453597198;
68;0;-81.233453597198;-79.896265472542;
69;0;-79.896265472542;-78.559077347885;
70;0;-78.559077347885;-77.221889223228;
71;0;-77.221889223228;-75.884701098572;
72;0;-75.884701098572;-74.547512973915;
73;0;-74.547512973915;-73.210324849258;
74;0;-73.210324849258;-71.873136724602;
75;0;-71.873136724602;-70.535948599945;
76;0;-70.535948599945;-69.198760475288;
77;0;-69.198760475288;-67.861572350632;
78;8;-67.861572350632;-66.524384225975;
79;22;-66.524384225975;-65.187196101318;
80;16;-65.187196101318;-63.850007976661;
81;13;-63.850007976661;-62.512819852005;
82;10;-62.512819852005;-61.175631727348;
83;13;-61.175631727348;-59.838443602691;
84;13;-59.838443602691;-58.501255478035;
85;6;-58.501255478035;-57.164067353378;
86;12;-57.164067353378;-55.826879228721;
87;13;-55.826879228721;-54.489691104065;
88;16;-54.489691104065;-53.152502979408;
89;14;-53.152502979408;-51.815314854751;
90;18;-51.815314854751;-50.478126730095;
91;30;-50.478126730095;-49.140938605438;
92;25;-49.140938605438;-47.803750480781;
93;136;-47.803750480781;-46.466562356125;
94;77;-46.466562356125;-45.129374231468;
95;68;-45.129374231468;-43.792186106811;
96;57;-43.792186106811;-42.454997982155;
97;47;-42.454997982155;-41.117809857498;
98;67;-41.117809857498;-39.780621732841;
99;68;-39.780621732841;-38.443433608185;
100;64;-38.443433608185;-37.106245483528;
101;106;-37.106245483528;-35.769057358871;
102;135;-35.769057358871;-34.431869234215;
103;150;-34.431869234215;-33.094681109558;
104;147;-33.094681109558;-31.757492984901;
105;121;-31.757492984901;-30.420304860245;
106;117;-30.420304860245;-29.083116735588;
107;91;-29.083116735588;-27.745928610931;
108;89;-27.745928610931;-26.408740486275;
109;102;-26.408740486275;-25.071552361618;
110;153;-25.071552361618;-23.734364236961;
111;166;-23.734364236961;-22.397176112304;
112;160;-22.397176112304;-21.059987987648;
113;157;-21.059987987648;-19.722799862991;
114;209;-19.722799862991;-18.385611738334;
115;274;-18.385611738334;-17.048423613678;
116;338;-17.048423613678;-15.711235489021;
117;516;-15.711235489021;-14.374047364364;
118;832;-14.374047364364;-13.036859239708;
119;1082;-13.036859239708;-11.699671115051;
120;1218;-11.699671115051;-10.362482990394;
121;1313;-10.362482990394;-9.025294865738;
122;2741;-9.025294865738;-7.688106741081;
123;7265;-7.688106741081;-6.350918616424;
124;14907;-6.350918616424;-5.013730491768;
125;27964;-5.013730491768;-3.676542367111;
126;39375;-3.676542367111;-2.339354242454;
127;48440;-2.339354242454;-1.002166117798;
128;57062;-1.002166117798;0.335022006859;
129;61303;0.335022006859;1.672210131516;
130;62524;1.672210131516;3.009398256172;
131;63324;3.009398256172;4.346586380829;
132;63578;4.346586380829;5.683774505486;
133;61609;5.683774505486;7.020962630142;
134;59827;7.020962630142;8.358150754799;
135;57739;8.358150754799;9.695338879456;
136;54543;9.695338879456;11.032527004112;
137;49828;11.032527004112;12.369715128769;
138;40367;12.369715128769;13.706903253426;
139;30189;13.706903253426;15.044091378082;
140;16213;15.044091378082;16.381279502739;
141;4976;16.381279502739;17.718467627396;
142;1721;17.718467627396;19.055655752053;
143;1186;19.055655752053;20.392843876709;
144;818;20.392843876709;21.730032001366;
145;568;21.730032001366;23.067220126023;
146;419;23.067220126023;24.404408250679;
147;324;24.404408250679;25.741596375336;
148;212;25.741596375336;27.078784499993;
149;150;27.078784499993;28.415972624649;
150;131;28.415972624649;29.753160749306;
151;91;29.753160749306;31.090348873963;
152;75;31.090348873963;32.427536998619;
153;69;32.427536998619;33.764725123276;
154;118;33.764725123276;35.101913247933;
155;162;35.101913247933;36.439101372589;
156;146;36.439101372589;37.776289497246;
157;137;37.776289497246;39.113477621903;
158;95;39.113477621903;40.450665746559;
159;48;40.450665746559;41.787853871216;
160;21;41.787853871216;43.125041995873;
161;30;43.125041995873;44.462230120529;
