Class; Value; Class start; Class end;
210;0;52.049973887558;52.692536649461;
211;0;52.692536649461;53.335099411364;
212;0;53.335099411364;53.977662173266;
213;0;53.977662173266;54.620224935169;
214;0;54.620224935169;55.262787697072;
215;0;55.262787697072;55.905350458975;
216;0;55.905350458975;56.547913220878;
217;0;56.547913220878;57.190475982780;
218;0;57.190475982780;57.833038744683;
219;0;57.833038744683;58.475601506586;
220;0;58.475601506586;59.118164268489;
221;0;59.118164268489;59.760727030392;
222;0;59.760727030392;60.403289792294;
223;0;60.403289792294;61.045852554197;
224;0;61.045852554197;61.688415316100;
225;0;61.688415316100;62.330978078003;
226;0;62.330978078003;62.973540839906;
227;0;62.973540839906;63.616103601809;
228;0;63.616103601809;64.258666363711;
229;0;64.258666363711;64.901229125614;
230;0;64.901229125614;65.543791887517;
231;0;65.543791887517;66.186354649420;
232;0;66.186354649420;66.828917411323;
233;0;66.828917411323;67.471480173225;
234;0;67.471480173225;68.114042935128;
235;0;68.114042935128;68.756605697031;
236;0;68.756605697031;69.399168458934;
237;0;69.399168458934;70.041731220837;
238;0;70.041731220837;70.684293982739;
239;1;70.684293982739;71.326856744642;
240;0;71.326856744642;71.969419506545;
241;0;71.969419506545;72.611982268448;
242;0;72.611982268448;73.254545030351;
243;0;73.254545030351;73.897107792253;
244;0;73.897107792253;74.539670554156;
245;0;74.539670554156;75.182233316059;
246;0;75.182233316059;75.824796077962;
247;0;75.824796077962;76.467358839865;
248;0;76.467358839865;77.109921601768;
249;0;77.109921601768;77.752484363670;
250;1;77.752484363670;78.395047125573;
251;3;78.395047125573;79.037609887476;
252;1;79.037609887476;79.680172649379;
253;7;79.680172649379;80.322735411282;
254;0;80.322735411282;80.965298173184;
255;5;80.965298173184;81.607860935087;
256;1;81.607860935087;82.250423696990;
