Class; Value; Class start; Class end;
144;7584;8.027513482550;8.214740146825;
145;7095;8.214740146825;8.401966811100;
146;6848;8.401966811100;8.589193475375;
147;6276;8.589193475375;8.776420139650;
148;5853;8.776420139650;8.963646803925;
149;5391;8.963646803925;9.150873468199;
150;5110;9.150873468199;9.338100132474;
151;4915;9.338100132474;9.525326796749;
152;4777;9.525326796749;9.712553461024;
153;4584;9.712553461024;9.899780125299;
154;4138;9.899780125299;10.087006789574;
155;3913;10.087006789574;10.274233453849;
156;3686;10.274233453849;10.461460118124;
157;3616;10.461460118124;10.648686782399;
158;3325;10.648686782399;10.835913446674;
159;3353;10.835913446674;11.023140110949;
160;3049;11.023140110949;11.210366775224;
161;2767;11.210366775224;11.397593439499;
162;2683;11.397593439499;11.584820103774;
163;2676;11.584820103774;11.772046768048;
164;2662;11.772046768048;11.959273432323;
165;2386;11.959273432323;12.146500096598;
166;2206;12.146500096598;12.333726760873;
167;2094;12.333726760873;12.520953425148;
168;2070;12.520953425148;12.708180089423;
169;2030;12.708180089423;12.895406753698;
170;1940;12.895406753698;13.082633417973;
171;1756;13.082633417973;13.269860082248;
172;1702;13.269860082248;13.457086746523;
173;1550;13.457086746523;13.644313410798;
174;1543;13.644313410798;13.831540075073;
175;1434;13.831540075073;14.018766739348;
176;1309;14.018766739348;14.205993403623;
177;1293;14.205993403623;14.393220067898;
178;1151;14.393220067898;14.580446732172;
179;1133;14.580446732172;14.767673396447;
180;1114;14.767673396447;14.954900060722;
181;998;14.954900060722;15.142126724997;
182;949;15.142126724997;15.329353389272;
183;887;15.329353389272;15.516580053547;
184;797;15.516580053547;15.703806717822;
185;713;15.703806717822;15.891033382097;
186;709;15.891033382097;16.078260046372;
187;647;16.078260046372;16.265486710647;
188;566;16.265486710647;16.452713374922;
189;540;16.452713374922;16.639940039197;
190;426;16.639940039197;16.827166703472;
191;410;16.827166703472;17.014393367747;
192;366;17.014393367747;17.201620032021;
193;341;17.201620032021;17.388846696296;
194;340;17.388846696296;17.576073360571;
195;292;17.576073360571;17.763300024846;
196;280;17.763300024846;17.950526689121;
197;235;17.950526689121;18.137753353396;
198;203;18.137753353396;18.324980017671;
199;214;18.324980017671;18.512206681946;
200;175;18.512206681946;18.699433346221;
201;178;18.699433346221;18.886660010496;
202;161;18.886660010496;19.073886674771;
203;128;19.073886674771;19.261113339046;
204;155;19.261113339046;19.448340003321;
205;116;19.448340003321;19.635566667596;
206;105;19.635566667596;19.822793331871;
207;105;19.822793331871;20.010019996145;
208;96;20.010019996145;20.197246660420;
209;104;20.197246660420;20.384473324695;
210;106;20.384473324695;20.571699988970;
211;70;20.571699988970;20.758926653245;
212;65;20.758926653245;20.946153317520;
213;63;20.946153317520;21.133379981795;
214;74;21.133379981795;21.320606646070;
215;65;21.320606646070;21.507833310345;
216;63;21.507833310345;21.695059974620;
217;50;21.695059974620;21.882286638895;
218;49;21.882286638895;22.069513303170;
219;47;22.069513303170;22.256739967445;
220;45;22.256739967445;22.443966631720;
221;34;22.443966631720;22.631193295994;
222;34;22.631193295994;22.818419960269;
223;38;22.818419960269;23.005646624544;
224;36;23.005646624544;23.192873288819;
225;36;23.192873288819;23.380099953094;
226;44;23.380099953094;23.567326617369;
227;33;23.567326617369;23.754553281644;
228;31;23.754553281644;23.941779945919;
229;16;23.941779945919;24.129006610194;
230;32;24.129006610194;24.316233274469;
231;32;24.316233274469;24.503459938744;
232;28;24.503459938744;24.690686603019;
233;22;24.690686603019;24.877913267294;
234;29;24.877913267294;25.065139931569;
235;14;25.065139931569;25.252366595844;
236;21;25.252366595844;25.439593260118;
237;28;25.439593260118;25.626819924393;
238;19;25.626819924393;25.814046588668;
239;15;25.814046588668;26.001273252943;
240;19;26.001273252943;26.188499917218;
241;15;26.188499917218;26.375726581493;
242;8;26.375726581493;26.562953245768;
243;19;26.562953245768;26.750179910043;
244;6;26.750179910043;26.937406574318;
245;7;26.937406574318;27.124633238593;
246;3;27.124633238593;27.311859902868;
247;12;27.311859902868;27.499086567143;
248;5;27.499086567143;27.686313231418;
249;1;27.686313231418;27.873539895693;
250;8;27.873539895693;28.060766559967;
251;1;28.060766559967;28.247993224242;
252;7;28.247993224242;28.435219888517;
253;5;28.435219888517;28.622446552792;
254;1;28.622446552792;28.809673217067;
255;2;28.809673217067;28.996899881342;
256;5;28.996899881342;29.184126545617;
